baseDate,movingPath,pathSize,movingCount
20190801,우도-하우목동항|우도-망루등대|우도-하고수동해수욕장|우도-천진항( 마을정보센타)|우도-천진항(소라축제장 )|우도-천진항( 마을정보센타)|성산포항 종합여객터미널(출발)|성산포항|성산포항 종합여객터미널(출발)|천지연폭포|성산일출해양도립공원,11,1
20190801,제주국제공항|천지연폭포|서귀포매일올레시장|제주은행(북)|자치경찰단 서귀포지역경찰대|솔동산 문화의 거리|월드컵경기장 대도로변 입구 매표소|제주월드컵경기장 서귀포버스터미널|칠십리 음식 특화거리,9,1
20190801,제주은행(북)|동미빌딩|칠십리 음식 특화거리|천지연폭포|칠십리 음식 특화거리,5,1
20190801,주상절리대|8코스|주상절리대(제1매표소)|8코스|주상절리대|중문고등학교(북)|천지연폭포|제주은행(북)|동미빌딩|만장굴|정부제주지방합동청사,11,1
20190801,칠십리공원_A|천지동자원순환센터|서귀포시 구 버스터미널|제주은행(북)|동미빌딩|동문로터리|동미빌딩|제주은행(북)|우리은행 서귀포점 인근 공영주차장|서귀북초등학교(동)|칠십리공원_A|외돌개|제주은행(북)|동미빌딩|제주은행(북)|칠십리 음식 특화거리|주공아파트5단지|제주은행(북)|서귀북초등학교(동)|칠십리공원_A|외돌개|솔동산 문화의 거리|자치경찰단 서귀포지역경찰대|천지연폭포|제주은행(북)|주공아파트5단지,26,1
20190801,한국방송통신대학|영화의거리->산지천|중문초등학교(북)|중문고등학교(북)|제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소|세리월드_동화속미로공원|월드컵경기장 대도로변 입구 매표소|제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소|서귀포여자고등학교(북)|천지연폭포|제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소|삼성초등학교|시민회관|동문시장|칠성로 쇼핑거리|삼성초등학교|동문시장|칠성로 쇼핑거리|시민회관|동문시장|칠성로 쇼핑거리|영화의거리->산지천|동문시장|삼성초등학교|시민회관|삼성초등학교|영화의거리->산지천|시민회관|동문시장|영화의거리->산지천,33,1
20190801,동홍동주민센터|동미빌딩|제주은행(북)|세계조가비박물관|칠십리공원_A|솔동산 문화의 거리|천지연폭포|칠십리 음식 특화거리|삼성여자고등학교(북),9,1
20190801,문화의 거리|서문가구거리|용담레포츠공원|아모렉스리조트|도두봉공원|외도초등학교|외도동주민센터|용담레포츠공원|외도초등학교|외도동주민센터|애월읍3|아모렉스리조트|용담레포츠공원|애월읍3|아모렉스리조트|애월읍3|곽지과물해변|아모렉스리조트|한담해변|곽지과물해변|애월읍3|아모렉스리조트|곽지과물해변|애월읍3|협재 해변|GS25 대포점|서귀포여자고등학교(북)|외돌개|천지연폭포|정방폭포|정방폭포(주차장)|칠십리 음식 특화거리|비석거리|대유대림아파트,34,1
20190801,소인국테마파크|GS25 서광점|소인국테마파크|중문관광단지입구 (남)|서귀포서부도서관|8코스|주상절리대|천지연폭포|자치경찰단 서귀포지역경찰대|솔동산 문화의 거리|천지동 아랑조을거리|만장굴,12,1
20190801,솔동산 문화의 거리|천지연폭포|서귀포시청 1청사|현대산부인과|삼아아파트|현대산부인과|삼성여자고등학교(북)|현대산부인과|표선해수욕장 주차장|제주민속촌,10,1
20190801,제주4․3평화공원|천지연폭포,2,1
20190801,제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소|세리월드_동화속미로공원|월드컵경기장 대도로변 입구 매표소|제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소|서귀포여자고등학교(북)|외돌개|천지연폭포|동미빌딩|제주은행(북)|서귀북초등학교(동)|서귀포시외버스터미날|제주월드컵경기장 서귀포버스터미널|동문시장|영화의거리->산지천|칠성로 쇼핑거리|영화의거리->산지천|동문시장|한국방송통신대학|서문가구거리|용문마을회관(버스)|한국방송통신대학|서문가구거리|용문마을(서)|용문마을회관(버스)|한국방송통신대학|문화의 거리|서문가구거리|용문마을(서)|서문가구거리|용문마을회관(버스)|용문마을(서)|용문마을회관(버스),34,1
20190801,제주월드컵경기장 서귀포버스터미널|칠십리 음식 특화거리|천지연폭포|우리은행 서귀포점 인근 공영주차장|매일올레시장주차장|중앙공원|청소년문화의집(북)|현대산부인과|걸매생태공원,9,1
20190801,천지연폭포|칠십리 음식 특화거리|주공아파트5단지|서귀북초등학교(동)|서귀포시청 1청사,5,1
20190801,천지연폭포|칠십리공원_A|솔동산 문화의 거리|이중섭거리|서귀포매일올레시장|제주은행(북),6,1
20190801,퐁낭 작은 도서관 앞 공영주차장(비석거리)|서귀포시 자기주도학습지원센터|산남새마을금고|비석거리|칠십리 음식 특화거리|솔동산 문화의 거리|제주은행(북)|천지연폭포|제주은행(북)|동미빌딩|현대산부인과|퐁낭 작은 도서관 앞 공영주차장(비석거리),12,1
20190801,효돈동2|칠십리 음식 특화거리|천지연폭포|주공아파트5단지|서귀북초등학교(동)|한마음공원,6,1
20190802,매일올레시장주차장|중앙공원|우리은행 서귀포점 인근 공영주차장|제주은행(북)|동미빌딩|천지연폭포,6,1
20190802,비체올린|협재 해변|협재해변|협재 해변|천지연폭포|솔동산 문화의 거리,6,1
20190802,서귀북초등학교(동)|주공아파트5단지|천지동자원순환센터|천지연폭포,4,1
20190802,아모렉스리조트|도두봉공원|아모렉스리조트|외도초등학교|외도동주민센터|외도초등학교|롯데리아 제주외도 DT|천지연폭포|서귀포여자고등학교(북)|카멜리아힐|아모렉스리조트|도두봉공원|아모렉스리조트,13,1
20190802,용담해안 카페촌거리|용담사거리|천지연폭포|한라수목원|백록초등학교,5,1
20190802,정방폭포|정방폭포(주차장)|정방폭포|하효 쇠소깍 해변|성읍랜드|세화 해변|20코스|21코스|세화 해변|하도 해변|세화 해변|20코스|21코스|하도 해변|21코스|칠십리 음식 특화거리|천지연폭포|자치경찰단 서귀포지역경찰대,18,1
20190802,천지연폭포|서귀포천문과학문화관|자치경찰단 서귀포지역경찰대|솔동산 문화의 거리|자치경찰단 서귀포지역경찰대,5,1
20190802,천지연폭포|외돌개|서귀포여자고등학교(북)|세계조가비박물관|제주은행(북)|서귀포매일올레시장|청소년문화의집(북)|현대산부인과|청소년문화의집(북)|천지동자원순환센터|서귀포시 구 버스터미널|천지동자원순환센터,12,1
20190802,천지연폭포|칠십리공원_A|외돌개|서귀포여자고등학교(북)|제주은행(북)|동미빌딩|현대산부인과|서귀포매일올레시장|동미빌딩|서귀포매일올레시장|동문로터리|서귀포매일올레시장|제주권역재활병원|중앙공원|서귀포매일올레시장|동미빌딩|제주은행(북)|서귀포매일올레시장|우리은행 서귀포점 인근 공영주차장|제주은행(북)|동미빌딩|서귀포매일올레시장|중앙공원|중앙로터리|우리은행 서귀포점 인근 공영주차장|매일올레시장주차장|우리은행 서귀포점 인근 공영주차장|서귀포매일올레시장|우리은행 서귀포점 인근 공영주차장|중앙로터리|우리은행 서귀포점 인근 공영주차장|매일올레시장주차장|우리은행 서귀포점 인근 공영주차장|서귀포시청 1청사|중앙로터리|천지동자원순환센터|서귀포시 구 버스터미널|천지동자원순환센터|서귀포시청 1청사,39,1
20190802,천지연폭포|칠십리공원_A|칠십리 음식 특화거리,3,1
20190802,청소년문화의집(북)|현대산부인과|동미빌딩|제주은행(북)|천지연폭포|청소년문화의집(북)|서귀포매일올레시장|제주은행(북)|서귀포매일올레시장|이중섭거리|서귀포시립이중섭미술관|천지동자원순환센터|중앙로터리|우리은행 서귀포점 인근 공영주차장|서귀포매일올레시장|서귀포시 구 버스터미널|서귀포매일올레시장,17,1
20190802,칠십리공원_A|천지연폭포|칠십리 음식 특화거리,3,2
20190802,하모2리|비체올린|천지연폭포|월드컵경기장 대도로변 입구 매표소|서귀포전천후게이트볼장|월드컵경기장 대도로변 입구 매표소,6,1
20190802,효돈동2|돈내코|천지연폭포|칠십리 음식 특화거리|서복전시관|삼성여자고등학교(북)|칠십리 음식 특화거리,7,1
20190802,남서광마을|탐라장애인 종합복지관|칠십리 음식 특화거리|천지연폭포|노형초등학교,5,1
20190802,사라봉오거리|정방폭포|정방폭포(주차장)|정방폭포|칠십리 음식 특화거리|소암현중화기념관|자치경찰단 서귀포지역경찰대|서복전시관|솔동산 문화의 거리|칠십리공원_A|서귀포예술의전당|칠십리공원_A|천지연폭포|솔동산 문화의 거리|약천사|중문고등학교(북),16,1
20190802,서귀포시청 1청사|천지연폭포|자치경찰단 서귀포지역경찰대|서귀북초등학교(동)|삼성여자고등학교(북)|서귀북초등학교(동)|서귀포시청 1청사|서귀포시 구 버스터미널|천지동자원순환센터|산남새마을금고|서귀포시청 1청사|서귀북초등학교(동)|천지연 공영주차장|천지동자원순환센터|서귀포시 구 버스터미널|우리은행 서귀포점 인근 공영주차장|서귀북초등학교(동),17,1
20190802,세계조가비박물관|칠십리공원_A|천지연폭포|칠십리 음식 특화거리,4,1
20190802,외돌개|천지연폭포|중문관광단지|중문·색달해변|중문관광단지|서귀포전천후게이트볼장|세계조가비박물관|천지연폭포|정방폭포|정방폭포(주차장)|정방폭포|청소년문화의집(북),12,1
20190802,제주미니미니랜드|정방폭포|정방폭포(주차장)|천지연폭포,4,1
20190802,천지연 공영주차장|천지동자원순환센터|천지연 공영주차장|칠십리공원_A|천지연폭포,5,1
20190802,천지연폭포|8코스|주상절리대|안덕면7|안덕면4|안덕면5|유리의성|안덕면1,8,1
